sku,qty,ref,val,vendor
A-959,1,C1 ,100uf,tayda
A-4008,4,C2 C3 C4 C5 ,0.1u,tayda
A-157,2,D1 D2 ,1N4148,tayda
A-2956,1,J1 ,europower,tayda
A-853,3,J2 J4 J6 ,stereo_jack_3.5mm,tayda
A-300,1,J3 ,dsub9_socket,tayda
A-1010,2,J5 J7 ,din5,tayda
-,1,J8 ,bootloader,-
A-1324,2,J9 J10 ,jumper,tayda
A-2246,3,R1 R2 R3 ,220,tayda
A-2203,1,R4 ,10k,tayda
A-5129,1,SW1 ,SW_Push_Dual,tayda
https://www.aliexpress.com/item/32846843498.html,1,U1 ,ProMicro,other
A-034,1,U2 ,MAX232,tayda
A-871,1,U3 ,6N137,tayda
A-882,1,U4 ,CD4069,tayda
https://www.aliexpress.com/item/32881871223.html,1,U5 ,usbHostMini,other
A-492,1,U6 ,78L33,tayda
